ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.41659,3.96001,8.66701,8.0,60.8755,,,,NaN,,,,0 / 0,24,2022-03-18 12:15:34:930
1.97761,-0.35913,9.99819,8.0,64.0218,,,,NaN,,,,0 / 0,524,2022-03-18 12:15:35:430
0.50278,-0.15802,11.10431,8.0,61.1474,,,,NaN,,,,0 / 0,1024,2022-03-18 12:15:35:930
0.06704,-0.02394,9.97424,8.0,60.3232,,,,NaN,,,,0 / 0,1523,2022-03-18 12:15:36:429
-0.08619,0.13886,10.23282,8.0,54.9709,,,,NaN,,,,0 / 0,2024,2022-03-18 12:15:36:930
-0.7039,-0.13886,10.27591,8.0,64.3087,,,,NaN,,,,0 / 0,2524,2022-03-18 12:15:37:430
-0.23942,0.21548,10.07959,8.0,62.981,,,,NaN,,,,0 / 0,3024,2022-03-18 12:15:37:930
-0.9098,0.16759,9.73961,8.0,60.7976,,,,NaN,,,,0 / 0,3524,2022-03-18 12:15:38:430
-0.6608,0.02394,9.8258,8.0,42.4359,,,,NaN,,,,0 / 0,4024,2022-03-18 12:15:38:930
-1.34554,0.3735,9.66779,8.0,44.4994,,,,NaN,,,,0 / 0,4523,2022-03-18 12:15:39:429
-0.54588,0.29209,9.85453,8.0,62.3399,,,,NaN,,,,0 / 0,5024,2022-03-18 12:15:39:930
-1.27372,0.43574,10.71166,8.0,57.168,,,,NaN,,,,0 / 0,5524,2022-03-18 12:15:40:430
-1.27372,0.16759,9.72046,8.0,67.1736,,,,NaN,,,,0 / 0,6023,2022-03-18 12:15:40:929
-1.09654,0.63686,9.44273,8.0,64.7987,,,,NaN,,,,0 / 0,6524,2022-03-18 12:15:41:430
-1.82917,0.13886,9.16979,8.0,50.8576,,,,NaN,,,,0 / 0,7024,2022-03-18 12:15:41:930
-1.40779,0.05267,9.8689,8.0,60.5518,,,,NaN,,,,0 / 0,7524,2022-03-18 12:15:42:430
0.19632,-0.26815,8.74841,8.0,60.5939,,,,NaN,,,,0 / 0,8023,2022-03-18 12:15:42:929
1.78129,-1.85311,7.69018,8.0,59.3639,,,,NaN,,,,0 / 0,8524,2022-03-18 12:15:43:430
1.52271,0.09577,7.48906,8.0,62.0893,,,,NaN,,,,0 / 0,9024,2022-03-18 12:15:43:930
0.04788,0.09098,9.81144,8.0,63.8635,,,,NaN,,,,0 / 0,9524,2022-03-18 12:15:44:430
0.0431,0.09098,9.71088,8.0,55.224,,,,NaN,,,,0 / 0,10024,2022-03-18 12:15:44:930
0.02394,0.13408,9.79229,8.0,62.3703,,,,NaN,,,,0 / 0,10524,2022-03-18 12:15:45:430
0.02394,0.1245,9.7875,8.0,59.9645,,,,NaN,,,,0 / 0,11024,2022-03-18 12:15:45:930
0.04788,0.10056,9.78271,8.0,53.8446,,,,NaN,,,,0 / 0,11524,2022-03-18 12:15:46:430
0.05267,0.0814,9.81623,8.0,54.3409,,,,NaN,,,,0 / 0,12024,2022-03-18 12:15:46:930
0.03831,0.09577,9.76355,8.0,52.0508,,,,NaN,,,,0 / 0,12523,2022-03-18 12:15:47:429
0.05746,0.11492,9.77313,8.0,49.6964,,,,NaN,,,,0 / 0,13024,2022-03-18 12:15:47:930
